Reset Time = 2022/02/26 11:50:18

YPP_Recv_No_recommand = 60, YPP_Recv_No = 60

Command Recv Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
Ack Send Socket Recreate Log =>
    [ 0] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 1] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 2] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000
    [ 3] 0000/00/00 00:00:00 [    0]  0,   0, 0x00000000

Recv Command Data Error Log =>
    [ 0] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 1] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 2] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0
    [ 3] 0000/00/00 00:00:00 [    0] 0x00000000->0x00000000,   0

Recv Command Data Store And Analize Log =>
    [164], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  832 ->  948
    [165], 2022/02/26, 10:31:38, 0, 0, [    1], [0x002f],    8,  948 ->  940
    [166], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  940 ->  956
    [167], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  956 ->  976
    [168], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  976 -> 1004
    [169], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0, 1004 -> 1016
    [170], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0, 1016 -> 1024
    [171], 2022/02/26, 10:31:38, 0, 0, [    1], [0x0030],   94, 1024 ->  930
    [172], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  930 -> 1024
    [173], 2022/02/26, 10:31:38, 0, 0, [    1], [0x0031],   38, 1024 ->  986
    [174], 2022/02/26, 10:31:38, 1, 0, [-----], [------],    0,  986 -> 1024
    [175], 2022/02/26, 11:25:02, 0, 0, [    1], [0x0032],    8, 1024 -> 1016
    [176], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0, 1016 -> 1024
    [177], 2022/02/26, 11:25:02, 0, 0, [    1], [0x0033],  400, 1024 ->  624
    [178], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  624 ->  660
    [179], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  660 ->  916
    [180], 2022/02/26, 11:25:02, 0, 0, [    1], [0x0034],    8,  916 ->  908
    [181], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  908 ->  956
    [182], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  956 ->  976
    [183], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  976 -> 1004
    [184], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0, 1004 -> 1016
    [185], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0, 1016 -> 1024
    [186], 2022/02/26, 11:25:02, 0, 0, [    1], [0x0035],   39, 1024 ->  985
    [187], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  985 -> 1024
    [188], 2022/02/26, 11:25:02, 0, 0, [    1], [0x0036],  170, 1024 ->  854
    [189], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  854 ->  930
    [190], 2022/02/26, 11:25:02, 1, 0, [-----], [------],    0,  930 -> 1024
    [191], 2022/02/26, 11:25:05, 0, 0, [    1], [0x0037],   76, 1024 ->  948
    [192], 2022/02/26, 11:25:05, 1, 0, [-----], [------],    0,  948 -> 1024
    [193], 2022/02/26, 11:25:55, 0, 0, [    1], [0x0038],    8, 1024 -> 1016
    [194], 2022/02/26, 11:25:55, 1, 0, [-----], [------],    0, 1016 -> 1024
    [195], 2022/02/26, 11:25:55, 0, 0, [    1], [0x0039],   16, 1024 -> 1008
    [196], 2022/02/26, 11:25:55, 1, 0, [-----], [------],    0, 1008 -> 1016
    [197], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0, 1016 -> 1024
    [198], 2022/02/26, 11:25:56, 0, 0, [    1], [0x003a],  160, 1024 ->  864
    [199], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0,  864 ->  940
    [200], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0,  940 ->  948
    [201], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0,  948 ->  984
    [202], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0,  984 -> 1012
    [203], 2022/02/26, 11:25:56, 1, 0, [-----], [------],    0, 1012 -> 1024
    [204], 2022/02/26, 11:26:00, 0, 0, [    1], [0x003b],   76, 1024 ->  948
    [205], 2022/02/26, 11:26:00, 1, 0, [-----], [------],    0,  948 -> 1024
    [206], 2022/02/26, 11:50:12, 0, 0, [    1], [0x003c],   60, 1024 ->  964
    [207], 2022/02/26, 11:50:12, 1, 0, [-----], [------],    0,  964 ->  984
    [208], 2022/02/26, 11:50:12, 1, 0, [-----], [------],    0,  984 -> 1012
    [209], 2022/02/26, 11:50:12, 1, 0, [-----], [------],    0, 1012 -> 1024
    [210], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [211], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [212], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [213], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [214], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [215], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [216], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [217], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [218], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [219], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [220], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [221], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [222], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [223], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [224], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [225], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [226], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [227], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [228], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [229], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [230], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [231], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [232], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [233], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [234], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [235], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [236], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [237], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [238], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [239], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [240], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [241], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [242], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [243], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [244], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [245], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [246], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [247], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [248], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [249], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [250], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [251], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [252], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [253], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [254], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0
    [255], 0000/00/00, 00:00:00, 0, 0, [    0], [0x0000],    0,    0 ->    0

Analize Thread Exec Info =>
    [  0], 0000/00/00, 00:00:00 -> 00:00:00, Post= 0, [0x0000], [0x0000], 0,0,0,0,0,0,0,0,
    [  1], 2022/02/26, 10:11:25 -> 10:11:25, Post=-1, [0x0200], [0x00FF], 6,0,E,0,55,0,0,0,
    [  2], 2022/02/26, 10:11:25 -> 10:11:25, Post=-1, [0x0300], [0x00FF], 2,0,4,0,E0,40,1C,2,
    [  3], 2022/02/26, 10:11:25 -> 10:11:25, Post=-1, [0x0300], [0x00FF], 2,0,C,0,E0,40,1C,2,
    [  4], 2022/02/26, 10:11:25 -> 10:11:25, Post=-1, [0x0300], [0x00FF], 2,0,9,0,E0,40,1C,2,
    [  5], 2022/02/26, 10:11:25 -> 10:11:25, Post= 0, [0x0300], [0x00FF], 2,0,A0,0,70,47,1C,2,
    [  6], 2022/02/26, 10:11:25 -> 10:11:25, Post= 1, [0x0300], [0x00FF], 6,0,A1,1,FF,FF,FF,0,
    [  7], 2022/02/26, 10:11:25 -> 10:11:25, Post=-1, [0x0300], [0x00FF], 6,0,F,0,0,0,0,0,
